['Date|Cape Town Harbour|Durban Harbour|Rand/US Dollar Exchange']
"2019-09-12|R 5,507.00|R 5,457.00|R 14.68 / $ US|"
"2019-09-11|R 5,515.00|R 5,465.00|R 14.62 / $ US|"
"2019-09-10|R 5,544.00|R 5,494.00|R 14.77 / $ US|"
"2019-09-09|R 5,518.00|R 5,468.00|R 14.79 / $ US|"
"2019-09-06|R 5,521.00|R 5,471.00|R 14.79 / $ US|"
"2019-09-05|R 5,549.00|R 5,499.00|R 14.75 / $ US|"
"2019-09-04|R 5,584.00|R 5,534.00|R 15.02 / $ US|"
"2019-09-03|R 5,672.00|R 5,622.00|R 15.26 / $ US|"
"2019-08-30|R 5,757.00|R 5,707.00|R 15.34 / $ US|"
"2019-08-29|R 5,818.00|R 5,768.00|R 15.41 / $ US|"
"2019-08-28|R 5,738.00|R 5,688.00|R 15.33 / $ US|"
"2019-08-27|R 5,720.00|R 5,670.00|R 15.31 / $ US|"
"2019-08-26|R 5,741.00|R 5,691.00|R 15.34 / $ US|"
"2019-08-23|R 5,738.00|R 5,688.00|R 15.19 / $ US|"
"2019-08-22|R 5,772.00|R 5,722.00|R 15.24 / $ US|"
"2019-08-21|R 5,809.00|R 5,759.00|R 15.35 / $ US|"
"2019-08-20|R 5,807.00|R 5,757.00|R 15.43 / $ US|"
"2019-08-19|R 5,735.00|R 5,685.00|R 15.24 / $ US|"
"2019-08-16|R 5,729.00|R 5,679.00|R 15.23 / $ US|"
"2019-08-15|R 5,806.00|R 5,756.00|R 15.30 / $ US|"
"2019-08-14|R 5,807.00|R 5,757.00|R 15.13 / $ US|"
"2019-08-13|R 5,717.00|R 5,667.00|R 15.26 / $ US|"
"2019-08-12|R 5,811.00|R 5,761.00|R 15.22 / $ US|"
"2019-08-08|R 5,643.00|R 5,593.00|R 15.05 / $ US|"
"2019-08-07|R 5,601.00|R 5,551.00|R 14.93 / $ US|"
"2019-08-06|R 5,606.00|R 5,556.00|R 14.83 / $ US|"
"2019-08-05|R 5,579.00|R 5,529.00|R 14.88 / $ US|"
"2019-08-02|R 5,532.00|R 5,482.00|R 14.61 / $ US|"
"2019-08-01|R 5,525.00|R 5,475.00|R 14.41 / $ US|"
"2019-07-31|R 5,504.00|R 5,454.00|R 14.19 / $ US|"
"2019-07-30|R 5,533.00|R 5,483.00|R 14.18 / $ US|"
"2019-07-29|R 5,585.00|R 5,535.00|R 14.24 / $ US|"
"2019-07-26|R 5,511.00|R 5,461.00|R 14.09 / $ US|"
